#OTUID	1759FJan_S24_L	1763CFeb_S27_L	1763FFeb_S25_L	2031CFeb_S42_L	2031FFeb_S40_L	2031P230_S89_L	2031PFeb_S41_L	2229FP230_S86_L	2231C230_S93_L	2231F230_S91_L	2231FFeb_S31_L	2231PJan_S22_L	29CJan_S3_L	29FFeb_S46_L	29FMar_S73_L	29PJan_S2_L	31CMar_S72_L	42CJan_S14_L	42CMar_S78_L	42F230_S82_L	42FJan_S13_L	42FMar_S76_L	42P230_S83_L	42PMar_S77_L	59CFeb_S45_L	59CMar_S63_L	59FFeb_S43_L	59FMar_S61_L	59P230_S95_L	60C230_S81_L	59PMar_S62_L	60CFeb_S36_L	60F230_S79_L	60FFeb_S34_L	60FJan_S4_L	60P230_S80_L	60PFeb_S35_L	61CJan_S17_L	61FFeb_S52_L	61FMar_S67_L	61PMar_S68_L	63FJan_S18_L	63FMar_S58_L	63PMar_S59_L	73CJan_S12_L	73FJan_S11_L	73FMar_S64_L	80CJan_S10_L	80CMar_S57_L	80FFeb_S49_L	Jul42C2_S36_L001_R1	Jul42P_S31_L001_R1	Jul59F_S12_L001_R1	Jul60F_S27_L001_R1	Jul60C2_S17_L001_R1	Jul61C3_S21_L001_R1	Jul61P2_S16_L001_R1	Jul63F_S11_L001_R1	Jul63C2_S6_L001_R1	Aug2031F_S50_L001_R1	Aug2031P2_S4_L001_R1	Aug2231P2_S19_L001_R1	Aug2231F_S9_L001_R1	Aug29C2_S29_L001_R1	Aug29F_S24_L001_R1	Aug29P2_S34_L001_R1	Aug42F_S39_L001_R1	Aug42P2_S47_L001_R1	Aug59C2_S18_L001_R1	Aug59P2_S23_L001_R1	Aug60C2_S51_L001_R1	Aug60F_S28_L001_R1	Aug60P2_S33_L001_R1	Aug61C2_S42_L001_R1	Aug61F_S38_L001_R1	Aug61P2_S46_L001_R1	Aug63C2_S55_L001_R1	Aug63F_S3_L001_R1	Aug63P2_S8_L001_R1	Sep61F_S35_L001_R1	Sept2031F_S10_L001_R1	Sep60F_S30_L001_R1	Sept29F_S5_L001_R1	Sept2231F_S15_L001_R1	Sept59F_S20_L001_R1	Sept63F_S25_L001_R1	taxonomy
Arachisduranensis;MAMN01000047.249174.251307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Ambiguous_taxa;c__Ambiguous_taxa;o__Ambiguous_taxa;f__Ambiguous_taxa;g__Arachisduranensis;s__Arachisduranensis
Caryacathayensis;GDAX01048398.486.2474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	k__Bacteria;p__Cyanobacteria;c__Oxyphotobacteria;o__Chloroplast;f__Caryacathayensis;g__Caryacathayensis;s__Caryacathayensis
Pisumsativum(pea);JR951091.270.2233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Pisumsativum(pea);s__Pisumsativum(pea)
Avenasativa(oat);GAJE01006253.263.2200	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Avenasativa(oat);s__Avenasativa(oat)
Ambiguous_taxa;GACN01029607.149.2074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Cyanobacteria;c__Oxyphotobacteria;o__Chloroplast;f__Ambiguous_taxa;g__Ambiguous_taxa;s__Ambiguous_taxa
Millettiapinnata;GEOZ01011695.30.1942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Cyanobacteria;c__Oxyphotobacteria;o__Chloroplast;f__Millettiapinnata;g__Millettiapinnata;s__Millettiapinnata
Escherichiacoli;CCPS01000022.154.1916	0	3658	0	7	62	8	5	3	32	0	1	0	2	0	1	0	0	2	2688	85	0	0	102	3	321	2	1	0	12	0	1	96	1	2	0	1	1	0	0	0	0	9	2	2	0	0	1	0	15	0	92	456	12	0	1	53	31	90	68	0	0	1	0	5	1	0	88	176	0	4	32	0	82	2	0	6	59	375	13	6	0	0	13	25	15	7	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia-Shigella;s__Escherichiacoli
Staphylococcusaureus;KJ923794.1.1762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcusaureus
Ambiguous_taxa;AY742307.1.1760	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Epsilonbacteraeota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Ambiguous_taxa
Raoultellaornithinolytica;KF625186.1.1741	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Raoultella;s__Raoultellaornithinolytica
