Name	Month	Season	Age	Individual	FSJ	FSFrozen	FSJNoSummer
1759FJan_S24_L	1-Jan	Winter	AdultFemale	F3	Y	Y	Y
1763CFeb_S27_L	2-Feb	Winter	AdultFemale	F1	N	N	N
1763FFeb_S25_L	2-Feb	Winter	AdultFemale	F1	Y	Y	Y
1763PFeb_S26_L	2-Feb	Winter	AdultFemale	F1	N	N	N
2031C230_S90_L	Day 230	Day 230	AdultMale	M1	N	N	N
2031CFeb_S42_L	2-Feb	Winter	AdultMale	M1	N	N	N
2031CJan_S8_L	1-Jan	Winter	AdultMale	M1	N	N	N
2031FFeb_S40_L	2-Feb	Winter	AdultMale	M1	N	N	N
2031F230_S88_L	Day 230	Day 230	AdultMale	M1	N	N	N
2031FJan_S6_L	1-Jan	Winter	AdultMale	M1	N	N	N
2031P230_S89_L	Day 230	Day 230	AdultMale	M1	N	N	N
2031PFeb_S41_L	2-Feb	Winter	AdultMale	M1	N	N	N
2031PJan_S7_L	1-Jan	Winter	AdultMale	M1	N	N	N
2229C230_S87_L	Day 230	Day 230	SubadultFemale	S1	N	N	N
2229FP230_S86_L	Day 230	Day 230	SubadultFemale	S1	N	N	N
2229F230_S85_L	Day 230	Day 230	SubadultFemale	S1	N	N	N
2231C230_S93_L	Day 230	Day 230	SubadultFemale	S2	N	N	N
2231CFeb_S33_L	2-Feb	Winter	SubadultFemale	S2	N	N	N
2231CJan_S23_L	1-Jan	Winter	SubadultFemale	S2	N	N	N
2231F230_S91_L	Day 230	Day 230	SubadultFemale	S2	N	N	N
2231FFeb_S31_L	2-Feb	Winter	SubadultFemale	S2	Y	Y	Y
2231FJan_S21_L	1-Jan	Winter	SubadultFemale	S2	Y	Y	Y
2231P230_S92_L	Day 230	Day 230	SubadultFemale	S2	N	N	N
2231PFeb_S32_L	2-Feb	Winter	SubadultFemale	S2	N	N	N
2231PJan_S22_L	1-Jan	Winter	SubadultFemale	S2	N	N	N
29CFeb_S48_L	2-Feb	Winter	SubadultFemale	S1	N	N	N
29CJan_S3_L	1-Jan	Winter	SubadultFemale	S1	N	N	N
29CMar_S75_L	3-Mar	Winter	SubadultFemale	S1	N	N	N
29FFeb_S46_L	2-Feb	Winter	SubadultFemale	S1	Y	Y	Y
29FJan_S1_L	1-Jan	Winter	SubadultFemale	S1	Y	Y	Y
29FMar_S73_L	3-Mar	Winter	SubadultFemale	S1	Y	Y	Y
29PFeb_S47_L	2-Feb	Winter	SubadultFemale	S1	N	N	N
29PJan_S2_L	1-Jan	Winter	SubadultFemale	S1	N	N	N
29PMar_S74_L	3-Mar	Winter	SubadultFemale	S1	N	N	N
31FMar_S70_L	3-Mar	Winter	SubadultFemale	S2	Y	Y	Y
31CMar_S72_L	3-Mar	Winter	SubadultFemale	S2	N	N	N
31PMar_S71_L	3-Mar	Winter	SubadultFemale	S2	N	N	N
42C230_S84_L	Day 230	Day 230	GeriatricFemale	G1	N	N	N
42CFeb_S30_L	2-Feb	Winter	GeriatricFemale	G1	N	N	N
42CJan_S14_L	1-Jan	Winter	GeriatricFemale	G1	N	N	N
42CMar_S78_L	3-Mar	Winter	GeriatricFemale	G1	N	N	N
42F230_S82_L	Day 230	Day 230	GeriatricFemale	G1	N	N	N
42FFeb_S28_L	2-Feb	Winter	GeriatricFemale	G1	N	N	N
42FJan_S13_L	1-Jan	Winter	GeriatricFemale	G1	N	N	N
42FMar_S76_L	3-Mar	Winter	GeriatricFemale	G1	N	N	N
42P230_S83_L	Day 230	Day 230	GeriatricFemale	G1	N	N	N
42PFeb_S29_L	2-Feb	Winter	GeriatricFemale	G1	N	N	N
42PMar_S77_L	3-Mar	Winter	GeriatricFemale	G1	N	N	N
59CFeb_S45_L	2-Feb	Winter	AdultFemale	F3	N	N	N
59C230_S96_L	Day 230	Day 230	AdultFemale	F3	N	N	N
59CMar_S63_L	3-Mar	Winter	AdultFemale	F3	N	N	N
59F230_S94_L	Day 230	Day 230	AdultFemale	F3	N	N	N
59FFeb_S43_L	2-Feb	Winter	AdultFemale	F3	Y	Y	Y
59FMar_S61_L	3-Mar	Winter	AdultFemale	F3	Y	Y	Y
59P230_S95_L	Day 230	Day 230	AdultFemale	F3	N	N	N
59PFeb_S44_L	2-Feb	Winter	AdultFemale	F3	N	N	N
60C230_S81_L	Day 230	Day 230	AdultFemale	F4	N	N	N
59PMar_S62_L	3-Mar	Winter	AdultFemale	F3	N	N	N
